State,StCodeAP,StCodeInd,District,DstCodeAP,DstCodeInd,Mandal,MndCodeAP,MndCodeInd,Village,VillCodeAP,VillCodeIn,Shape_Area
Andhra Pradesh,28,28,Sri Potti Sriramulu Nellore,18,550,Lingasamudram,04,05150,Vengalapuram,002,591555,1.90035054150
Andhra Pradesh,28,28,Prakasam,17,549,Pamur,36,05146,Pamur,015,591504,16.38682414420
Andhra Pradesh,28,28,Sri Potti Sriramulu Nellore,18,550,Lingasamudram,04,05150,Viswanadhapuram,006,591559,4.40773425394
Andhra Pradesh,28,28,Prakasam,17,549,Pamur,36,05146,Bodanada,024,591498,18.77512347480
Andhra Pradesh,28,28,Sri Potti Sriramulu Nellore,18,550,Lingasamudram,04,05150,Racheruvurajupalem,011,591564,28.74962925900
Andhra Pradesh,28,28,Sri Potti Sriramulu Nellore,18,550,Lingasamudram,04,05150,Jagamreddi Khandrika,001,591554,6.59614781549
Andhra Pradesh,28,28,Sri Potti Sriramulu Nellore,18,550,Gudluru,08,05151,Kothapeta,005,591578,5.69390183125
Andhra Pradesh,28,28,Sri Potti Sriramulu Nellore,18,550,Ulavapadu,07,05152,Krishnapuram,008,591599,3.29915683203
Andhra Pradesh,28,28,Prakasam,17,549,Pamur,36,05146,Botla Gudur,026,591500,35.19215816800
Andhra Pradesh,28,28,Sri Potti Sriramulu Nellore,18,550,Lingasamudram,04,05150,Mogilicherla,009,591562,33.90074337370
Andhra Pradesh,28,28,Prakasam,17,549,Pamur,36,05146,Siddavaram,025,591499,16.58232042840
Andhra Pradesh,28,28,Sri Potti Sriramulu Nellore,18,550,Lingasamudram,04,05150,Lingasamudram,008,591561,17.58515373050
Andhra Pradesh,28,28,Sri Potti Sriramulu Nellore,18,550,Ulavapadu,07,05152,Veerepalle,009,591600,13.00795093490
Andhra Pradesh,28,28,Sri Potti Sriramulu Nellore,18,550,Lingasamudram,04,05150,Thurpurajupalem,016,591569,3.89835495640
Andhra Pradesh,28,28,Sri Potti Sriramulu Nellore,18,550,Lingasamudram,04,05150,Gangapalem,015,591568,3.25707499283
Andhra Pradesh,28,28,Sri Potti Sriramulu Nellore,18,550,Gudluru,08,05151,Darakanipadu,009,591582,10.13089280620
Andhra Pradesh,28,28,Sri Potti Sriramulu Nellore,18,550,Gudluru,08,05151,Swarnajipuram,006,591579,21.79965396790
Andhra Pradesh,28,28,Sri Potti Sriramulu Nellore,18,550,Gudluru,08,05151,Gudluru,007,591580,46.04267040320
Andhra Pradesh,28,28,Prakasam,17,549,Pamur,36,05146,Tiragandla Dinne,017,591491,13.37172213170
Andhra Pradesh,28,28,Sri Potti Sriramulu Nellore,18,550,Gudluru,08,05151,Basireddy Palem,008,591581,8.48617630750
Andhra Pradesh,28,28,Sri Potti Sriramulu Nellore,18,550,Gudluru,08,05151,Puretipalle,010,591583,10.21327386560
Andhra Pradesh,28,28,Sri Potti Sriramulu Nellore,18,550,Lingasamudram,04,05150,Anneboinapalle,018,591571,9.80075645226
Andhra Pradesh,28,28,Sri Potti Sriramulu Nellore,18,550,Gudluru,08,05151,Mocherla,016,591589,28.85146655440
Andhra Pradesh,28,28,Sri Potti Sriramulu Nellore,18,550,Lingasamudram,04,05150,Cheemalapenta,014,591565,8.09596337072
Andhra Pradesh,28,28,Sri Potti Sriramulu Nellore,18,550,Lingasamudram,04,05150,Thunugunta,017,591570,2.48245065305
Andhra Pradesh,28,28,Prakasam,17,549,Pamur,36,05146,East Kodigudlapadu,016,591490,0.32892204780
Andhra Pradesh,28,28,Sri Potti Sriramulu Nellore,18,550,Lingasamudram,04,05150,Pentrala,012,591566,8.14293714787
Andhra Pradesh,28,28,Sri Potti Sriramulu Nellore,18,550,Ulavapadu,07,05152,Ramayapatnam,012,591603,7.24322050345
Andhra Pradesh,28,28,Prakasam,17,549,Pamur,36,05146,Puttamnaidu Palle,018,591492,2.47126325402
Andhra Pradesh,28,28,Prakasam,17,549,Pamur,36,05146,Renimadugu,029,591503,12.12653567920
Andhra Pradesh,28,28,Prakasam,17,549,Pamur,36,05146,Kambaladinne,028,591502,12.96611037590
Andhra Pradesh,28,28,Sri Potti Sriramulu Nellore,18,550,Lingasamudram,04,05150,Chinapavani,019,591572,13.61691023040
Andhra Pradesh,28,28,Sri Potti Sriramulu Nellore,18,550,Lingasamudram,04,05150,Rallapadu,013,591567,8.15097922143
Andhra Pradesh,28,28,Sri Potti Sriramulu Nellore,18,550,Lingasamudram,04,05150,Mutyalapadu,020,591573,35.94295419990
Andhra Pradesh,28,28,Sri Potti Sriramulu Nellore,18,550,Gudluru,08,05151,Venkam Peta,011,591584,3.38583406502
Andhra Pradesh,28,28,Prakasam,17,549,Pamur,36,05146,Karrollapadu,027,591501,4.47427951546
Andhra Pradesh,28,28,Sri Potti Sriramulu Nellore,18,550,Gudluru,08,05151,Potluru,015,591588,13.46089931360
Andhra Pradesh,28,28,Sri Potti Sriramulu Nellore,18,550,Gudluru,08,05151,Chinala Trapi,012,591585,27.85942270940
Andhra Pradesh,28,28,Sri Potti Sriramulu Nellore,18,550,Gudluru,08,05151,Ravur,018,591590,15.81218833480
Andhra Pradesh,28,28,Sri Potti Sriramulu Nellore,18,550,Lingasamudram,04,05150,Narasimhapuram,010,591563,3.20398584509
Andhra Pradesh,28,28,Sri Potti Sriramulu Nellore,18,550,Gudluru,08,05151,Ammavari Palem,014,591587,7.91435604969
Andhra Pradesh,28,28,Sri Potti Sriramulu Nellore,18,550,Gudluru,08,05151,Chevuru,017,591591,27.22302614150
Andhra Pradesh,28,28,Sri Potti Sriramulu Nellore,18,550,Gudluru,08,05151,Nayudupalem,013,591586,11.98641782220
Andhra Pradesh,28,28,Prakasam,17,549,Pullalacheruvu,02,05098,Marrivemula,005,590557,11.71985038660
Andhra Pradesh,28,28,Prakasam,17,549,Pullalacheruvu,02,05098,Chennapalem,004,590556,2.33745031263
Andhra Pradesh,28,28,Prakasam,17,549,Pullalacheruvu,02,05098,Satha Kodu,006,590558,23.77787006850
Andhra Pradesh,28,28,Prakasam,17,549,Yerragondapalem,01,05097,Allatam,001,590517,1.22974079074
Andhra Pradesh,28,28,Prakasam,17,549,Pullalacheruvu,02,05098,Uppaladinne Penta,003,NA,0.44339827764
Andhra Pradesh,28,28,Prakasam,17,549,Pullalacheruvu,02,05098,Mutukula,014,590560,36.01055797330
Andhra Pradesh,28,28,Prakasam,17,549,Pullalacheruvu,02,05098,Garapenta,002,590554,0.22135322437
Andhra Pradesh,28,28,Prakasam,17,549,Pullalacheruvu,02,05098,Murikimallapenta,001,590547,2.86629703500
Andhra Pradesh,28,28,Prakasam,17,549,Pullalacheruvu,02,05098,Chowtapalle,007,NA,12.96038728190
Andhra Pradesh,28,28,Prakasam,17,549,Pullalacheruvu,02,05098,Pullalacheruvu,008,590553,40.14349053710
Andhra Pradesh,28,28,Prakasam,17,549,Pullalacheruvu,02,05098,Racha Konda,009,590552,18.24748650920
Andhra Pradesh,28,28,Prakasam,17,549,Yerragondapalem,01,05097,Guttalacheruvu,002,590516,1.89784889225
Andhra Pradesh,28,28,Prakasam,17,549,Yerragondapalem,01,05097,Palutla,003,590514,1.77412292163
Andhra Pradesh,28,28,Prakasam,17,549,Yerragondapalem,01,05097,Naruthadikala,006,NA,1.19730083526
Andhra Pradesh,28,28,Bapatla,15,750,Santhamaguluru,19,05104,Santhamaguluru,004,590671,25.70374616120
Andhra Pradesh,28,28,Prakasam,17,549,Pullalacheruvu,02,05098,Yendra Palle,010,590548,18.16930510830
Andhra Pradesh,28,28,Prakasam,17,549,Yerragondapalem,01,05097,Ponnala Bayalu,005,590518,2.47031783331
Andhra Pradesh,28,28,Bapatla,15,750,Santhamaguluru,19,05104,Vellala Cheruvu,001,590668,19.76820090170
Andhra Pradesh,28,28,Prakasam,17,549,Pullalacheruvu,02,05098,Isukatripuravaram,019,590564,34.70188973260
Andhra Pradesh,28,28,Prakasam,17,549,Yerragondapalem,01,05097,Buru Gundala,008,590521,1.51623633650
Andhra Pradesh,28,28,Prakasam,17,549,Pullalacheruvu,02,05098,Narasa Puram,015,590561,1.99771939194
Andhra Pradesh,28,28,Bapatla,15,750,Santhamaguluru,19,05104,Kamepalle,003,590670,12.28949694560
Andhra Pradesh,28,28,Bapatla,15,750,Santhamaguluru,19,05104,Tangedu Malli,005,590672,20.67632041610
Andhra Pradesh,28,28,Prakasam,17,549,Pullalacheruvu,02,05098,Mane Palle,016,590562,10.33447619920
Andhra Pradesh,28,28,Prakasam,17,549,Pullalacheruvu,02,05098,Kavala Kuntla,013,590551,14.19753182180
Andhra Pradesh,28,28,Bapatla,15,750,Santhamaguluru,19,05104,Gurijepalle,006,590673,6.04930076489
Andhra Pradesh,28,28,Prakasam,17,549,Yerragondapalem,01,05097,Nekkanti,004,590515,1.09620925030
Andhra Pradesh,28,28,Prakasam,17,549,Pullalacheruvu,02,05098,Komarolu,011,590549,31.58330926540
Andhra Pradesh,28,28,Prakasam,17,549,Yerragondapalem,01,05097,Garini Penta,009,590524,0.61069213125
Andhra Pradesh,28,28,Prakasam,17,549,Pullalacheruvu,02,05098,Chapala Madugu,012,590550,23.27497436820
Andhra Pradesh,28,28,Bapatla,15,750,Santhamaguluru,19,05104,Kopparam,007,590674,30.11071291280
Andhra Pradesh,28,28,Bapatla,15,750,Santhamaguluru,19,05104,Elchur,008,590675,28.78566676020
Andhra Pradesh,28,28,Prakasam,17,549,Pullalacheruvu,02,05098,Ayyagari Palle,017,590563,4.83986618402
Andhra Pradesh,28,28,Bapatla,15,750,Santhamaguluru,19,05104,Gopapuram,002,590669,4.26401328410
Andhra Pradesh,28,28,Prakasam,17,549,Yerragondapalem,01,05097,Billagondi Penta,010,590523,0.50381621960
Andhra Pradesh,28,28,Bapatla,15,750,Ballikurava,18,05105,Uppumaguluru,002,590680,24.05420651030
Andhra Pradesh,28,28,Prakasam,17,549,Yerragondapalem,01,05097,Millampalle,016,590530,15.54418180560
Andhra Pradesh,28,28,Prakasam,17,549,Yerragondapalem,01,05097,Rayavaram,015,NA,4.35925716929
Andhra Pradesh,28,28,Prakasam,17,549,Pullalacheruvu,02,05098,Chowtapa Charla,018,590565,4.42691235873
Andhra Pradesh,28,28,Bapatla,15,750,Ballikurava,18,05105,Koppera Palem,013,590691,13.13227244870
Andhra Pradesh,28,28,Prakasam,17,549,Yerragondapalem,01,05097,Dara Bayalu,012,NA,2.33044175301
Andhra Pradesh,28,28,Prakasam,17,549,Tripuranthakam,03,05099,Ganapavaram,005,590570,27.69425961420
Andhra Pradesh,28,28,Prakasam,17,549,Yerragondapalem,01,05097,Venkatadri Palem,014,590528,50.40546516220
Andhra Pradesh,28,28,Prakasam,17,549,Tripuranthakam,03,05099,Annasamudram,007,590572,26.83048432460
Andhra Pradesh,28,28,Prakasam,17,549,Tripuranthakam,03,05099,Mittapalem,004,590569,15.71166432020
Andhra Pradesh,28,28,Prakasam,17,549,Tripuranthakam,03,05099,Medapi,006,590571,27.84666811240
Andhra Pradesh,28,28,Prakasam,17,549,Yerragondapalem,01,05097,Bai Penta,032,NA,1.02178873628
Andhra Pradesh,28,28,Prakasam,17,549,Yerragondapalem,01,05097,Madam Chalama,011,NA,2.34604199244
Andhra Pradesh,28,28,Prakasam,17,549,Yerragondapalem,01,05097,Yerragonda Palem,017,590531,27.48262428220
Andhra Pradesh,28,28,Bapatla,15,750,Santhamaguluru,19,05104,Kommala Padu,011,590678,19.59801873500
