State,StCodeAP,StCodeInd,District,DstCodeAP,DstCodeInd,Mandal,MndCodeAP,MndCodeInd,Village,VillCodeAP,VillCodeIn,Shape_Area
Andhra Pradesh,28,28,Prakasam,17,549,Veligandla,38,05135,Gandla Seetharam Puram,007,591230,9.18902643166
Andhra Pradesh,28,28,Prakasam,17,549,Giddalur,17,05133,Tripura Puram,005,591185,3.26153185003
Andhra Pradesh,28,28,Prakasam,17,549,Tangutur,29,05141,Valluru Kavalimanyam,011,NA,0.85639002278
Andhra Pradesh,28,28,Prakasam,17,549,Giddalur,17,05133,Podili Konda Palle,007,591187,8.14108053141
Andhra Pradesh,28,28,Prakasam,17,549,Giddalur,17,05133,Kongala Veedu,010,591190,5.90110195835
Andhra Pradesh,28,28,Prakasam,17,549,Zarugumilli,31,05142,Paleti Padu,017,591387,10.32578626940
Andhra Pradesh,28,28,Prakasam,17,549,Giddalur,17,05133,Kanchi Palle,015,591194,9.04389950259
Andhra Pradesh,28,28,Prakasam,17,549,Veligandla,38,05135,Ballavaram,012,591235,4.23129373170
Andhra Pradesh,28,28,Prakasam,17,549,Veligandla,38,05135,Ganna Varam,008,591231,9.11579119666
Andhra Pradesh,28,28,Prakasam,17,549,Ponnaluru,34,05143,Kotapadu,002,591395,16.48438424550
Andhra Pradesh,28,28,Prakasam,17,549,Zarugumilli,31,05142,Kame Palle,006,591374,11.06504642270
Andhra Pradesh,28,28,Prakasam,17,549,Marripudi,23,05129,Ayyaparaju Palem,026,591118,10.03581869860
Andhra Pradesh,28,28,Prakasam,17,549,Zarugumilli,31,05142,Thumadu,015,591385,5.61539372466
