ID,ORG_CODE,ORG_SHORTNAME,ORG_TYPE,ORG_NAME,REPORT_ORG
1802,INC68,VAP,AO,Vizag Apparel Park for Export,INC01
1793,INC69,FPS,AO,AP Food Processing Society,INC01
1750,INI51,ECD,AO,AP Economic Cities Promotion and Development Corporation Ltd (APEDCO),INI01
1791,INI52,MID,AO,AP Maritime Infrastructure Development Corporation Limited (APMIDCL),INI01
423,INI53,ADL,AO,AP Airports Development Corporation Ltd (APADCL),INI01
420,INI54,ICP,AO,Infrastructure Corporation of AP (INCAP),INI01
428,INI55,APT,AO,AP Towers Limited,INI01
429,INI56,SCC,AO,AP Science City,INI01
422,INI57,FIB,AO,AP State Fibernet Ltd,INI01
731,INI58,APD,AO,AP Drones Corporation Pvt Ltd,INI01
426,INI59,GIC,AO,AP Gas Infrastructure Corporation Ltd,INI01
487,ITC51,ATS,AO,AP Technology Services Ltd,ITC01
488,ITC52,EPA,AO,e-Pragati Authority,ITC01
489,ITC53,AIS,AO,AP Innovation Society,ITC01
490,ITC54,EIA,AO,AP Electronics and IT Agency,ITC01
491,ITC55,ITA,AO,AP IT academy,ITC01
492,ITC56,NET,AO,Society for AP Network (SAPNET),ITC01
493,ITC57,CDD,AO,The AP  Core Digital Data Autority(Effective Delivery E-Service),ITC01
494,LAE10,LCG,AO,"Labour Court, Guntur",LAE01
495,LAE11,LCV,AO,"Labour Court-cum-Industrial Tribunal, Visakhapatnam",LAE01
496,LAE12,LCA,AO,"Labour Court, Ananthapur",LAE01
498,LAE52,CWW,AO,AP Building & Other Construction Workers Welfare Board,LAE01
499,LAE53,LWB,AO,AP State Labour Welfare Board,LAE01
500,LAW02,HCA,AO,High court of AP,LAW01
502,LAW04,AGO,AO,The Advocate General's office,LAW01
504,MA002,ADK,AO,Addanki Municipality,MAU01
505,MA003,ALG,AO,Allagadda Municipality,MAU01
506,MA004,AML,AO,Amalapuram Municipality,MAU01
507,MA005,AMD,AO,Amudalavalasa Municipality,MAU01
508,MA006,AND,AO,Adoni Municipality,MAU01
509,MA007,ATP,AO,Anantapur Municipal Corporation,MAU01
510,MA008,ATK,AO,Atmakur Kurnool Municipality,MAU01
511,MA009,ATN,AO,Atmakur Nellore Municipality,MAU01
512,MA010,BPP,AO,Bapatla Municipality,MAU01
513,MA011,BVR,AO,Bhimavaram Municipality,MAU01
514,MA012,BOB,AO,Bobbili Municipality,MAU01
515,MA013,BUD,AO,Budwel Municipality,MAU01
516,MA014,CKY,AO,Cheemakurthy Municipality,MAU01
517,MA015,CHI,AO,Chittoor Municipal Corporation,MAU01
518,MA016,CLP,AO,Chilakaluripet Municipality,MAU01
519,MA017,CRL,AO,Chirala Municipality,MAU01
520,MA018,DHA,AO,Dharmavaram Municipality,MAU01
521,MA019,DHO,AO,Dhone Municipality,MAU01
522,MA020,ELU,AO,Eluru Municipal Corporation,MAU01
523,MA021,GID,AO,Giddalur Municipality,MAU01
524,MA022,GLP,AO,Gollaprolu Municipality,MAU01
525,MA023,GOO,AO,Gooty Municipality,MAU01
526,MA024,GTL,AO,Guntakal Municipality,MAU01
527,MA025,GUD,AO,Gudivada Municipality,MAU01
528,MA026,GDK,AO,Gudur Kurnool Municipality,MAU01
529,MA027,GDN,AO,Gudur Nellore Municipality,MAU01
530,MA028,GUN,AO,Guntur Municipal Corporation,MAU01
531,MA029,HIN,AO,Hindupur Municipality,MAU01
532,MA030,ICH,AO,Ichapuram Municipality,MAU01
533,MA031,JAG,AO,Jaggaiahpet Municipality,MAU01
534,MA032,JAM,AO,Jammalamadugu Municipality,MAU01
535,MA033,JAN,AO,Jangareddygudem Municipality,MAU01
536,MA034,KAD,AO,Kadiri Municipality,MAU01
537,MA035,KAK,AO,Kakinada Municipal Corporation,MAU01
538,MA036,KAL,AO,Kalyanadurgam Municipality,MAU01
539,MA037,KAN,AO,Kanigiri Municipality,MAU01
540,MA038,KAV,AO,Kavali Municipality,MAU01
541,MA039,KDP,AO,Kadapa Municipal Corporation,MAU01
542,MA040,KDR,AO,Kandukur Municipality,MAU01
543,MA041,KOV,AO,Kovvur Municipality,MAU01
544,MA042,KUR,AO,Kurnool Municipal Corporation,MAU01
545,MA043,MAC,AO,Machilipatnam Municipality,MAU01
546,MA044,MPL,AO,Madanapalle Municipality,MAU01
547,MA045,MDK,AO,Madakasira Municipality,MAU01
548,MA046,MNG,AO,Mangalagiri Municipality,MAU01
549,MA047,MRK,AO,Markapur Municipality,MAU01
550,MA048,MCH,AO,Macherla Municipality,MAU01
551,MA049,MDT,AO,Mandapet Municipality,MAU01
552,MA050,MMM,AO,Mummidivaram Municipality,MAU01
553,MA051,MYD,AO,Mydukur Municipality,MAU01
554,MA052,NAI,AO,Naidupet Municipality,MAU01
555,MA053,NAN,AO,Nandigama Municipality,MAU01
556,MA054,NDI,AO,Nandikotkur Municipality,MAU01
557,MA055,NDV,AO,Nidadavole Municipality,MAU01
558,MA056,NDY,AO,Nandyal Municipality,MAU01
559,MA057,NGR,AO,Nagari Municipality,MAU01
560,MA058,NLM,AO,Nellimarla Municipality,MAU01
561,MA059,NLR,AO,Nellore Municipal Corporation,MAU01
562,MA060,NPT,AO,Narasaraopet Municipality,MAU01
563,MA061,NRS,AO,Narasapur Municipality,MAU01
564,MA062,NSP,AO,Narsipatnam Municipality,MAU01
565,MA063,NZV,AO,Nuzividu Municipality,MAU01
566,MA064,ONG,AO,Ongole Municipal Corporation,MAU01
567,MA065,PAL,AO,Palakonda Municipality,MAU01
568,MA066,PVM,AO,Parvathipuram Municipality,MAU01
569,MA067,PDG,AO,Piduguralla Municipality,MAU01
570,MA068,PDM,AO,Peddapuram Municipality,MAU01
571,MA069,PED,AO,Pedana Municipality,MAU01
572,MA070,PIT,AO,Pithapuram Municipality,MAU01
573,MA071,PKB,AO,Palasakasibugga Municipality,MAU01
574,MA072,PKL,AO,Palakol Municipality,MAU01
575,MA073,PLM,AO,Palamaner Municipality,MAU01
576,MA074,PLV,AO,Pulivendula Municipality,MAU01
577,MA075,PMD,AO,Pamidi Municipality,MAU01
578,MA076,PON,AO,Ponnur Municipality,MAU01
579,MA077,PDR,AO,Proddatur Municipality,MAU01
580,MA078,PTY,AO,Puttaparthy Municipality,MAU01
581,MA079,PUN,AO,Punganur Municipality,MAU01
582,MA080,PUT,AO,Puttur Municipality,MAU01
583,MA081,REP,AO,Repalle Municipality,MAU01
584,MA082,RJM,AO,Rajam Municipality,MAU01
585,MA083,RPT,AO,Rajampet Municipality,MAU01
586,MA084,RMV,AO,Rajamahendravaram Municipal Corporation,MAU01
587,MA085,RCP,AO,Ramachandrapuram Municipality,MAU01
588,MA086,RDG,AO,Rayadurg Municipality,MAU01
589,MA087,RCT,AO,Rayachoty Municipality,MAU01
590,MA088,SPL,AO,Sattenapalle Municipality,MAU01
591,MA089,SRM,AO,Saluru Municipality,MAU01
592,MA090,SKH,AO,Srikalahasti Municipality,MAU01
593,MA091,SKL,AO,Srikakulam Municipal Corporation,MAU01
594,MA092,SPT,AO,Sullurpeta Municipality,MAU01
595,MA093,SMK,AO,Samalkot Municipality,MAU01
596,MA094,TPR,AO,Tadipatri Municipality,MAU01
597,MA095,TDL,AO,Tadepalli Municipality,MAU01
598,MA096,TDG,AO,Tadepalligudem Municipality,MAU01
599,MA097,TNL,AO,Tenali Municipality,MAU01
600,MA098,TNK,AO,Tanuku Municipality,MAU01
601,MA099,TPT,AO,Tirupati Municipal Corporation,MAU01
602,MA100,TNI,AO,Tuni Municipality,MAU01
603,MA101,TRV,AO,Tiruvuru Municipality,MAU01
604,MA102,VNK,AO,Vinukonda Municipality,MAU01
605,MA103,VIS,AO,Greater Visakhapatnam Municipal Corporation,MAU01
606,MA104,VJN,AO,Vijayanagaram Municipality,MAU01
607,MA105,VJW,AO,Vijayawada Municipal Corporation,MAU01
608,MA106,VNG,AO,Venkatagiri Municipality,MAU01
609,MA107,VYU,AO,Vuyyuru Municipality,MAU01
610,MA108,YLS,AO,Yeleswaram Municipality,MAU01
611,MA109,YMG,AO,Yemmiganur Municipality,MAU01
612,MA110,YLM,AO,Yelamanchili Municipality,MAU01
613,MA111,YRG,AO,Yerraguntla Municipality,MAU01
1772,MA112,TGM,AO,YSR Tadigadapa Municipality,MAU01
1773,MA113,ALM,AO,Alluru Municipality,MAU01
1774,MA114,BKM,AO,B.Kothakota Municipality,MAU01
1775,MA115,CPM,AO,Chintalapudi Municipality,MAU01
1776,MA116,PLM,AO,Podili Municipality,MAU01
1812,MA117,AKV,AO,Akiveedu Nagar Panchayat,MAU01
1813,MA118,DPN,AO,Dachepalli Nagar Panchayat,MAU01
1814,MA119,DRS,AO,Darsi Nagar Panchayat,MAU01
1815,MA120,KPN,AO,Kamalapuram Nagar Panchayat,MAU01
1816,MA121,KPM,AO,Kondapalli Municipality,MAU01
1817,MA122,KUP,AO,Kuppam Municipality,MAU01
614,MAU51,URF,AO,AP Urban Finance Infrastructure Development Corporation,MAU01
616,MAU53,MEP,AO,Mission for Elimination of Poverty in Municipal Areas (MEPMA),MAU01
617,MAU54,SAN,AO,Swachh Andhra Corporation?,MAU01
618,MAU55,GRE,AO,AP Urban Greenery & Beautification Corporation,MAU01
619,MAU56,UHB,AO,AP Housing Board,MAU01
620,MAU57,TID,AO,AP Township and Infrastructure Development Corporation,MAU01
621,MAU58,MRC,AO,Andhra Pradesh Metro Rail Corporation Limited,MAU01
622,MAU59,ADC,AO,Amaravati Development Corporation,MAU01
623,MAU60,VUD,AO,Visakhapatnam Urban Development Authority,MAU01
624,MAU61,CRD,AO,Andhra Pradesh Capital Region Development Authority,MAU01
625,MAU62,TUD,AO,Tirupati Urban Development Authority,MAU01
626,MAU63,MDP,AO,AP Municipal Development Project,MAU01
627,MAU64,SWA,AO,AP Rajeev Swagruha Corporation Ltd,MAU01
628,MAU65,UIA,AO,AP Urban Infrastructure Asset Management Ltd,MAU01
629,MAU66,AHU,AO,Anantapur Hindupur Urban Development Authority,MAU01
630,MAU67,KDA,AO,Kakinada Urban Development Authority,MAU01
631,MAU68,NUD,AO,Nellore Urban Development Authority,MAU01
632,MAU69,MDA,AO,Machilipatnam Urban Development Authority,MAU01
633,MAU70,RER,AO,Real Estate Regulatory Authority,MAU01
1735,MAU71,EDA,AO,Eluru Urban Development Authority (EUDA),MAU01
1747,MAU72,ASS,AO,Amaravati Smart and Sustainable City Corporation Ltd (ASSCCL),MAU01
1759,MAU73,CUD,AO,Chittoor Urban Development Authority,MAU01
1767,MAU74,OUD,AO,Ongole Urban Development Authority,MAU01
1777,MAU75,SUD,AO,Srikakulam Urban Development Authority,MAU01
1788,MAU76,RUD,AO,Rajamahendravaram Urban Development Authority,MAU01
1790,MAU77,BUDA,AO,Bobbili Urban Development Authority,MAU01
1792,MAU78,ADA,AO,Annamayya Urban Development Authority,MAU01
1796,MAU79,KUD,AO,Kurnool urban Development Authority,MAU01
1800,MAU80,PKM,AO,Palamaner Kuppam Madanapalle Urban Development Authority,MAU01
635,MNW51,MFC,AO,AP State Minorities Finance Corporation Ltd,MNW01
636,MNW52,CHR,AO,AP State Christian (Minorities) Finance Corporation,MNW01
637,MNW53,WAK,AO,AP State Wakf Board,MNW01
638,MNW54,WTR,AO,AP State Wakf Tribunal,MNW01
639,MNW55,HAJ,AO,AP State Haj Committee,MNW01
640,MNW56,URA,AO,AP Urdu Academy,MNW01
641,MNW57,WCM,AO,Survey Commissioner of Wakfs,MNW01
1731,MNW58,DMC,AO,AP Noorbasha/Doodekula Muslims Cooperative Societies Fedaration Ltd,MNW03
642,PLG51,DPS,AO,AP State Development Planning Society (APSDPS),PLG01
643,PLG52,ASC,AO,AP Space Application Centre (APSAC),ITC01
644,PLG53,SPB,AO,AP State Planning Board,PLG01
677,PLG54,SMR,AO,Swarna Andhra P4 Foundation,PLG01
645,PR001,WMS,AO,"District Water Management Agency, Srikakulam",PRR05
646,PR002,WVZ,AO,"District Water Management Agency, Vizianagaram",PRR05
647,PR003,WMV,AO,"District Water Management Agency, Visakhapatnam",PRR05
648,PR004,WME,AO,"District Water Management Agency, East Godavari",PRR05
649,PR005,WMW,AO,"District Water Management Agency, West Godavari",PRR05
650,PR006,WMK,AO,"District Water Management Agency, Krishna",PRR05
651,PR007,WMG,AO,"District Water Management Agency, Guntur",PRR05
652,PR008,WMP,AO,"District Water Management Agency, Prakasam",PRR05
653,PR009,WMN,AO,"District Water Management Agency, SPR Nellore",PRR05
654,PR010,WCT,AO,"District Water Management Agency, Chittoor",PRR05
655,PR011,WKD,AO,"District Water Management Agency, YSR Kadapa",PRR05
656,PR012,WKN,AO,"District Water Management Agency, Kurnool",PRR05
657,PR013,WAT,AO,"District Water Management Agency, Anantapuramu",PRR05
674,PRR07,IRD,AO,AP State Institute of Rural Development and Panchyat Raj(APSIRD & PR),GWS01
672,PRR51,SEC,AO,State Election Commission,PRR01
673,PRR52,SRE,AO,Society for Elimination of Rural Poverty,PRR01
675,PRR54,SAA,AO,"Society for Social Audit, Accountability and Transparency",PRR01
676,PRR55,DWS,AO,AP Drinking Water Supply Corporation,PRR01
678,REV51,BCL,AO,AP Beverages Corporation Ltd,REV01
679,REV52,TOD,AO,AP Toddy Tappers Cooperative Finance Corporation Ltd,REV01
680,REV53,BRA,AO,AP Brahmin Welfare Corporation,REV01
681,REV54,DMA,AO,AP State Disaster Management Authority,REV01
682,REV55,TTD,AO,Tirumala Tirupati Devastanam,REV01
683,REV56,VED,AO,"Vedic University, Tirupati",REV55
685,REV58,VSD,AO,Sri Swayambhu Varasiddi Vinayaka Swamy Devasthanam,REV01
686,REV59,SKD,AO,Sri Kalahastheeswara Swamy Devasthanam,REV01
687,REV60,SSD,AO,Sri Veera Venkata Satyanarayana Swamy Devastanam,REV01
688,REV61,TAD,AO,Sri Tirupatamma Ammavari Devasthanam,REV01
689,REV62,SDD,AO,Sri Durgamalleswara Swamy Varla Devatshanam,REV01
690,REV63,SBD,AO,Sri Bramaramba Mallikarjuna Swamy Devasthanam,REV01
691,REV64,LND,AO,"Sri Varaha Lakshmi Narasimha Swamy Devasthanam, Simhachalam",REV01
692,REV65,VDD,AO,Sri Venkateswara Swamy Devasthanam(Dwarakatirumala),REV01
1784,REV66,SMA,AO,Sri Mavullamma Ammavari Devasthanam,REV01
1818,REV67,TLD,AO,Sri Talupulamma Ammavari Devasthanam,REV01
693,RTG51,RTS,AO,RTG Society,RTG01
694,SEI51,SLD,AO,AP State Skill Development Corporation,SEI01
695,SEI52,SEE,AO,Society for Employment Generation And Enterprise Development in AP (SEEDAP),SEI01
696,SEI53,NAC,AO,National Academy of Construction,SEI01
497,SEI54,OMC,AO,Overseas Manpower Company Andhra Pradesh Limited,SEI01
697,SOW05,SWR,AO,AP Social Welfare Residential Educational Institutions Society (APSWREIS),SOW01
699,SOW51,SCF,AO,AP Scheduled Castes Cooperative Finance Corporation (APSCCFC),SOW01
700,SOW52,STC,AO,AP SC ST Commission,SOW01
701,SOW53,SDC,AO,AP Study Circle,SOW01
1810,SOW54,SCS,AO,AP State Commission for Scheduled Castes,SOW01
698,TBW51,TEI,AO,AP Tribal Welfare Residential Educational Institutions Society Gurukulam,TBW01
702,TBW52,GIR,AO,Girijan Cooperative Corporation Ltd,TBW01
703,TBW53,TFC,AO,AP Scheduled Tribes Cooperative Finance Corporation,TBW01
704,TBW54,TCI,AO,Tribal Cultural Research and Training Mission,TBW01
1786,TBW55,STC,AO,AP STATE COMMISSION FOR SCHEDULED TRIBES,TBW01
1805,TBW56,TRIPCO,AO,AP Tribal Power Company Limited,TBW01
705,TRB51,RTC,AO,AP State Road Transport Corporation (APSRTC),TRB14
706,TRB52,RDC,AO,AP Road Development Corporation,TRB01
707,TRB53,TAT,AO,State Transport Appellate Tribunal,TRB01
708,WDC51,WMC,AO,AP Womens Cooperative Development Corporation,WDC01
709,WDC52,PHC,AO,"AP Differently Abled, Senior Citizens Corporation",WDC01
710,WDC53,WOM,AO,AP State Womens Commission,WDC01
1779,WDC54,PCR,AO,Andhra Pradesh State Commission for Protection of Child Rights,WDC01
711,YTC51,SAP,AO,Sports Authority of AP,YTC01
712,YTC52,STP,AO,AP Society For Training And Employment Promotion (APSTEP),YTC01
713,YTC54,STA,AO,AP State Tourism Authority,YTC01
714,YTC55,TDC,AO,AP Tourism Development Corporation,YTC01
715,YTC56,BTC,AO,Bhavani Island Tourism Corporation,YTC01
716,YTC57,CCC,AO,AP State Creativity and Culture Commission,YTC01
717,YTC58,KUC,AO,Kuchipudi Natyaramam Corporation,YTC01
718,YTC59,SIL,AO,AP Silparamam Society,YTC01
719,YTC60,TCH,AO,AP Tourism Culture Heritage Board,YTC01
